Aaapai;Ano;Apf;Apreensao Drogas Sem Autor;Cmba;Cmp;Furto Bicicleta;Mcirc;Mes;Mes Ano;Munic;Mês (Nome);Posse Drogas;Regiao;Roubo Bicicleta;Trafico Drogas;Aisp;Ameaca;Apreensao Drogas;Cisp;Cvli;Encontro Cadaver;Encontro Ossada;Estelionato;Estupro;Extorsao;Fase;Furto Celular;Furto Coletivo;Furto Transeunte;Furto Veiculos;Hom Culposo;Hom Doloso;Hom Por Interv Policial;Latrocinio;Lesao Corp Culposa;Lesao Corp Dolosa;Lesao Corp Morte;Letalidade Violenta;Outros Furtos;Outros Roubos;Pessoas Desaparecidas;Pol Civis Mortos Serv;Pol Militares Mortos Serv;Recuperacao Veiculos;Registro Ocorrencias;Risp;Roubo Apos Saque;Roubo Banco;Roubo Carga;Roubo Celular;Roubo Comercio;Roubo Conducao Saque;Roubo Cx Eletronico;Roubo Em Coletivo;Roubo Residencia;Roubo Rua;Roubo Transeunte;Roubo Veiculo;Sequestro;Sequestro Relampago;Tentat Hom;Total Furtos;Total Roubos
5;2016;11;1;0;2;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;3;3;34;4;24;1;0;0;25;2;0;3;5;8;7;4;0;1;0;0;20;42;0;1;34;20;2;0;0;24;529;1;2;0;4;21;13;0;0;4;4;143;118;46;0;0;2;58;232
6;2016;19;3;1;11;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;2;Capital;0;14;3;23;19;25;2;0;0;13;1;2;3;10;10;15;11;2;2;2;0;16;55;0;4;45;18;7;0;0;38;606;1;2;0;23;9;7;0;0;11;4;110;90;35;0;1;12;91;199
14;2016;30;5;4;12;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;26;Capital;0;8;3;51;39;26;1;0;0;21;3;2;3;8;4;16;10;1;1;0;0;17;45;0;1;56;22;3;0;0;23;595;1;0;0;5;17;3;0;0;4;1;101;80;32;0;0;4;95;164
7;2016;21;0;0;11;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;4;41;48;4;27;3;0;0;50;4;1;3;15;12;16;27;3;1;0;2;35;62;0;3;77;43;5;0;0;168;993;2;2;0;10;32;10;0;0;8;2;214;174;108;0;0;2;149;389
5;2016;21;0;0;2;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;2;9;69;2;28;4;1;0;71;8;3;3;15;16;25;15;0;4;0;0;40;68;0;4;86;26;8;0;0;23;961;2;1;0;6;33;12;0;0;9;1;199;157;67;0;0;3;158;312
5;2016;27;1;3;8;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;2;5;9;46;6;29;3;0;0;51;0;2;3;37;27;78;10;1;3;1;0;41;59;0;4;116;24;2;0;0;58;1010;2;2;0;17;26;4;0;0;42;0;230;162;80;0;0;9;268;359
6;2016;12;2;0;6;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;2;9;48;5;30;2;0;0;18;2;0;3;10;3;20;22;0;2;0;0;24;61;0;2;42;12;7;0;0;21;521;2;0;0;1;13;6;0;0;2;3;98;83;62;0;0;2;98;182
3;2016;12;0;0;3;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;2;41;47;2;31;1;0;0;10;4;1;3;7;7;10;9;2;1;0;0;20;54;0;1;49;20;2;0;0;12;631;2;2;0;7;46;4;0;0;15;3;201;140;95;0;0;4;84;332
11;2016;50;1;5;14;3;3304557;1;2016m01;Rio de Janeiro;Janeiro;4;Capital;2;14;18;189;19;32;6;0;0;60;10;8;3;30;27;36;24;0;6;1;0;60;190;0;7;142;24;18;0;0;27;1289;2;2;0;6;20;10;0;0;22;4;129;87;23;0;0;5;262;200
9;2016;19;3;1;5;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;5;Capital;0;7;14;84;15;33;6;1;0;64;6;0;3;15;14;32;24;4;6;0;0;43;83;0;6;85;17;9;0;0;63;1022;2;3;1;23;25;8;0;0;9;3;158;124;93;0;0;1;171;306
20;2016;89;6;1;14;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;4;Capital;0;40;14;101;48;34;5;1;0;62;5;4;3;36;21;73;19;5;5;0;0;59;131;0;5;128;35;16;0;0;94;1457;2;3;0;40;45;6;0;0;11;5;248;192;137;0;0;6;278;474
5;2016;52;3;0;9;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;4;Capital;0;2;40;247;9;35;9;1;0;87;19;3;3;31;20;90;54;2;9;0;0;119;194;0;9;168;30;26;0;0;50;1818;2;2;0;23;25;18;0;0;7;6;219;187;117;0;0;5;365;415
3;2016;19;0;0;37;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;3;Capital;0;6;27;123;9;36;10;2;0;39;10;0;3;20;18;38;28;3;10;7;0;58;137;0;17;92;12;20;0;0;55;963;2;2;0;3;15;5;0;0;12;3;115;88;21;0;0;7;198;161
4;2016;24;1;0;3;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;2;17;52;4;37;0;0;0;39;5;2;3;27;18;34;30;1;0;0;0;41;73;0;0;134;7;5;0;0;13;768;1;5;0;4;14;3;0;0;11;1;67;42;8;0;0;3;245;95
5;2016;27;1;0;4;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;2;Capital;0;7;16;63;10;38;4;1;0;33;7;0;3;10;9;18;17;1;4;1;0;40;72;0;5;48;35;13;0;0;52;783;1;0;0;18;63;8;1;0;13;1;180;104;73;0;0;3;102;316
14;2016;47;1;0;12;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;2;Capital;0;31;41;22;34;39;10;0;0;19;4;2;3;11;9;30;20;0;9;5;1;14;33;0;15;46;21;12;0;1;126;847;2;0;0;30;33;5;0;0;24;0;177;120;86;0;0;0;116;319
3;2016;10;0;0;4;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;5;9;52;5;40;6;0;0;45;7;1;3;5;7;5;12;2;6;1;0;33;46;0;7;40;31;8;0;0;41;699;2;0;0;12;20;4;0;0;14;2;177;143;89;0;0;11;71;315
2;2016;4;1;0;14;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;1;18;67;3;41;0;0;0;38;3;3;3;16;14;6;9;1;0;0;0;29;41;0;0;59;14;1;0;0;7;489;2;0;0;3;5;6;0;0;3;3;37;29;19;0;0;0;104;82
2;2016;20;0;0;2;8;3304557;1;2016m01;Rio de Janeiro;Janeiro;5;Capital;0;3;31;86;7;42;5;0;1;71;5;0;3;20;20;26;22;2;5;0;0;28;80;0;5;154;17;9;0;0;7;845;2;0;0;0;9;2;1;0;5;0;73;59;28;0;0;9;250;121
4;2016;14;0;0;2;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;0;27;83;1;43;5;0;0;11;9;0;3;9;12;7;9;0;5;0;0;46;103;0;5;48;3;9;0;0;6;563;2;0;0;1;4;3;0;0;2;2;46;40;18;0;0;0;85;73
3;2016;20;1;0;14;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;6;3;27;8;44;2;0;0;10;0;2;3;11;5;18;15;0;2;0;0;26;20;0;2;68;44;3;0;0;51;601;1;1;0;19;13;14;0;0;10;0;100;77;72;0;1;5;117;250
0;2016;3;0;1;10;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;3;Capital;0;1;16;8;4;45;0;0;0;1;0;0;3;0;1;1;2;0;0;1;0;5;8;0;1;3;0;2;0;0;2;130;1;0;0;23;1;0;0;0;0;0;3;2;1;0;0;5;7;27
2;2016;15;1;0;8;0;3305554;1;2016m01;Seropédica;Janeiro;0;Baixada Fluminense;0;4;24;21;4;48;2;0;0;10;1;0;3;1;3;3;5;0;2;0;0;13;30;0;2;19;2;2;0;0;7;199;3;1;0;2;2;2;0;0;0;1;19;17;7;0;0;6;31;34
11;2016;27;1;2;7;1;3302007;1;2016m01;Itaguaí;Janeiro;1;Baixada Fluminense;0;12;24;47;14;50;9;0;0;26;7;3;3;8;3;6;25;4;9;0;0;22;47;0;9;109;16;8;0;0;24;587;3;0;0;2;19;15;0;0;11;1;74;44;59;0;0;11;152;167
2;2016;4;2;1;13;1;3303609;1;2016m01;Paracambi;Janeiro;6;Baixada Fluminense;0;4;24;25;12;51;2;0;0;5;0;0;3;1;0;1;1;0;2;0;0;7;14;0;2;7;0;3;0;0;2;126;3;0;0;5;1;1;0;0;0;0;3;2;3;0;0;0;11;12
7;2016;48;2;0;39;1;3303500;1;2016m01;Nova Iguaçu;Janeiro;4;Baixada Fluminense;1;6;20;25;12;52;8;0;0;68;5;2;3;20;21;90;37;4;7;0;1;56;35;0;8;125;19;3;0;0;43;945;3;3;0;16;18;10;0;0;19;0;157;120;68;0;0;4;294;274
14;2016;26;2;0;59;1;3302858;1;2016m01;Mesquita;Janeiro;1;Baixada Fluminense;0;15;20;70;18;53;15;0;0;20;5;1;3;14;9;97;25;2;15;2;0;26;74;0;17;38;15;6;0;0;39;832;3;1;0;10;10;8;0;0;14;0;116;92;49;0;0;9;184;199
26;2016;73;3;0;20;2;3300456;1;2016m01;Belford Roxo;Janeiro;1;Baixada Fluminense;0;47;39;75;50;54;14;0;0;24;8;4;3;16;4;26;18;0;14;3;0;33;145;0;17;68;33;14;0;0;52;1012;3;1;0;15;21;2;0;0;11;1;191;159;77;0;0;8;134;320
10;2016;28;1;1;8;1;3304144;1;2016m01;Queimados;Janeiro;1;Baixada Fluminense;0;10;24;65;12;55;8;0;0;16;2;0;3;8;5;12;12;2;8;1;0;32;80;0;9;49;5;5;0;0;9;540;3;0;0;7;6;2;0;0;9;2;81;66;23;0;0;12;87;120
25;2016;40;2;0;52;0;3303500;1;2016m01;Nova Iguaçu;Janeiro;4;Baixada Fluminense;1;31;20;74;36;56;16;0;0;24;3;0;3;13;6;26;12;4;15;0;1;25;67;0;16;36;20;17;0;0;24;819;3;0;0;14;28;12;0;0;6;1;174;140;68;0;0;24;93;290
7;2016;12;0;0;13;1;3303203;1;2016m01;Nilópolis;Janeiro;1;Baixada Fluminense;0;4;20;75;5;57;10;0;0;25;9;1;3;11;8;53;26;1;9;1;1;11;50;0;11;49;21;5;0;0;29;822;3;2;0;22;20;14;1;0;4;1;181;157;111;0;0;2;148;353
5;2016;13;0;0;19;0;3303500;1;2016m01;Nova Iguaçu;Janeiro;2;Baixada Fluminense;0;5;20;156;7;58;17;0;0;32;11;2;3;12;7;11;28;5;15;0;2;58;168;0;17;80;26;18;0;0;16;1156;3;0;0;25;42;13;0;0;7;4;204;155;77;0;0;3;138;349
12;2016;68;1;0;38;0;3301702;1;2016m01;Duque de Caxias;Janeiro;4;Baixada Fluminense;0;12;15;131;17;59;6;0;0;129;10;5;3;31;26;257;64;3;6;0;0;84;168;0;6;148;25;13;0;0;144;2076;3;2;0;44;42;16;0;0;73;0;350;235;167;0;0;5;526;604
7;2016;33;1;0;3;0;3301702;1;2016m01;Duque de Caxias;Janeiro;0;Baixada Fluminense;0;11;15;46;12;60;16;1;0;17;4;0;3;2;6;19;21;1;15;0;1;28;51;0;16;58;17;14;0;0;27;763;3;0;0;15;12;13;0;0;22;0;202;168;56;0;0;4;106;303
3;2016;3;0;0;7;0;3301702;1;2016m01;Duque de Caxias;Janeiro;0;Baixada Fluminense;0;0;15;31;0;61;2;1;0;8;3;0;3;3;1;1;1;0;2;0;0;5;22;0;2;13;1;0;0;0;11;168;3;0;0;1;0;0;0;0;1;0;10;9;5;0;0;0;19;17
9;2016;35;3;2;12;1;3301702;1;2016m01;Duque de Caxias;Janeiro;5;Baixada Fluminense;2;23;15;23;30;62;6;2;0;4;2;2;3;6;2;11;10;0;6;0;0;41;40;0;6;25;9;7;0;0;28;442;3;0;0;11;15;4;0;0;14;1;107;78;36;0;0;4;55;170
2;2016;15;4;0;51;0;3302270;1;2016m01;Japeri;Janeiro;4;Baixada Fluminense;0;5;24;40;11;63;12;0;0;4;6;0;3;0;1;4;2;0;11;0;1;21;41;0;12;11;12;5;0;0;20;307;3;0;0;7;1;0;0;0;6;1;25;18;8;0;0;7;18;53
33;2016;80;2;2;23;0;3305109;1;2016m01;São João de Meriti;Janeiro;3;Baixada Fluminense;0;59;21;141;61;64;12;0;0;53;14;1;3;28;9;55;35;1;12;1;0;67;197;0;13;91;46;19;0;0;116;1779;3;9;0;55;63;20;0;0;29;4;384;292;188;0;0;2;218;706
7;2016;27;0;0;15;0;3302502;1;2016m01;Magé;Janeiro;0;Baixada Fluminense;0;9;34;34;9;65;1;1;0;7;4;0;3;4;2;9;5;0;1;1;0;17;37;0;2;28;5;1;0;0;13;305;3;0;0;6;7;7;0;0;15;2;43;21;13;0;0;2;48;76
4;2016;23;0;0;4;1;3302502;1;2016m01;Magé;Janeiro;1;Baixada Fluminense;0;5;34;69;6;66;3;1;0;8;5;1;3;6;3;15;17;2;3;0;0;25;80;0;3;52;8;10;0;0;5;440;3;0;0;0;5;5;0;0;5;1;59;49;23;0;0;2;94;96
1;2016;4;0;0;10;1;3301850;1;2016m01;Guapimirim;Janeiro;0;Baixada Fluminense;0;2;34;22;2;67;3;0;0;4;1;1;3;2;0;2;4;3;3;0;0;10;27;0;3;15;3;2;0;0;5;183;3;0;0;2;1;1;0;0;0;0;11;10;9;0;0;1;24;26
1;2016;8;1;0;1;0;3305752;1;2016m01;Tanguá;Janeiro;0;Interior;0;6;35;7;7;70;1;1;0;3;2;1;3;1;0;0;4;0;1;0;0;3;21;0;1;10;1;0;0;0;3;86;4;0;0;1;2;0;0;0;3;0;9;4;4;0;0;0;15;15
21;2016;41;0;0;16;0;3301900;1;2016m01;Itaboraí;Janeiro;1;Interior;0;31;35;92;32;71;4;1;0;30;7;2;3;13;6;23;19;2;4;0;0;36;88;0;4;85;5;16;0;0;34;800;4;0;0;5;22;12;1;0;19;2;149;108;31;0;0;1;146;205
13;2016;30;0;0;13;0;3304904;1;2016m01;São Gonçalo;Janeiro;3;Grande Niterói;0;15;7;80;18;72;4;1;0;43;2;4;3;16;7;47;35;3;4;3;0;40;102;0;7;77;16;5;0;0;72;1070;4;2;0;24;27;12;0;0;11;2;277;239;67;0;0;3;182;400
29;2016;71;1;0;10;2;3304904;1;2016m01;São Gonçalo;Janeiro;0;Grande Niterói;0;35;7;65;36;73;4;1;0;22;3;2;3;8;6;19;22;1;3;2;1;28;95;0;6;54;27;5;0;0;31;850;4;0;0;10;26;17;0;0;12;1;226;188;102;0;0;4;111;383
41;2016;47;3;0;29;1;3304904;1;2016m01;São Gonçalo;Janeiro;2;Grande Niterói;0;41;7;89;45;74;9;0;0;28;6;2;3;11;12;68;30;1;8;2;1;45;98;0;11;96;20;14;0;0;46;1244;4;1;0;17;25;18;0;0;17;1;316;274;104;0;0;8;218;477
9;2016;16;3;0;3;0;3304904;1;2016m01;São Gonçalo;Janeiro;4;Grande Niterói;0;14;7;49;20;75;11;0;0;6;5;0;3;2;3;10;13;2;11;0;0;33;55;0;11;24;18;12;0;0;55;631;4;0;0;8;16;10;0;0;8;3;152;128;94;0;0;11;52;285
4;2016;32;2;3;10;5;3303302;1;2016m01;Niterói;Janeiro;3;Grande Niterói;0;6;12;41;11;76;1;0;0;50;3;6;3;33;8;78;25;1;1;2;0;20;55;0;3;127;10;3;0;0;18;789;4;2;0;1;31;9;0;0;10;0;119;78;24;0;0;0;276;165
6;2016;17;1;6;6;5;3303302;1;2016m01;Niterói;Janeiro;1;Grande Niterói;3;7;12;32;9;77;1;1;0;46;3;0;3;15;7;35;13;1;1;2;0;21;26;0;3;69;10;1;0;0;13;524;4;0;0;0;5;2;0;0;1;0;61;55;38;0;0;2;144;114
11;2016;30;0;1;12;0;3303302;1;2016m01;Niterói;Janeiro;6;Grande Niterói;0;14;12;30;19;78;6;0;0;9;3;0;3;6;5;8;26;0;6;2;0;26;46;0;8;53;12;0;0;0;28;506;4;0;0;4;16;3;0;0;3;2;101;82;38;0;0;6;98;160
3;2016;16;1;0;0;0;3303302;1;2016m01;Niterói;Janeiro;0;Grande Niterói;0;2;12;35;3;79;1;0;0;11;0;0;3;4;1;7;10;2;1;0;0;20;40;0;1;23;5;3;0;0;27;283;4;0;0;0;2;4;0;0;1;1;33;30;22;0;0;6;45;65
8;2016;19;0;0;10;0;3303302;1;2016m01;Niterói;Janeiro;1;Grande Niterói;0;5;12;36;6;81;3;0;0;12;1;2;3;7;3;9;14;0;2;1;0;28;49;1;4;57;3;2;0;0;9;390;4;0;0;2;3;3;1;0;0;1;31;28;25;0;2;0;90;66
5;2016;19;0;0;4;2;3302700;1;2016m01;Maricá;Janeiro;1;Grande Niterói;0;8;12;62;8;82;3;1;1;32;7;1;3;11;3;19;12;5;3;0;0;25;68;0;3;87;4;11;0;0;7;639;4;0;0;0;9;4;0;0;1;2;33;23;20;0;0;5;134;63
4;2016;30;5;0;12;1;3300308;1;2016m01;Barra do Pirai;Janeiro;8;Interior;0;13;10;36;23;88;2;1;0;7;2;0;3;2;0;0;3;2;2;0;0;15;49;0;2;23;1;1;0;0;2;223;5;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1;29;4
6;2016;31;1;0;7;1;3304201;1;2016m01;Resende;Janeiro;10;Interior;1;12;37;78;23;89;3;0;0;24;8;0;3;9;3;10;4;1;3;0;0;6;55;0;3;73;7;6;0;0;3;450;5;0;0;0;2;8;0;0;0;0;9;7;1;0;0;2;100;26
2;2016;35;5;0;16;1;3300407;1;2016m01;Barra Mansa;Janeiro;9;Interior;0;16;28;69;30;90;3;0;0;14;3;1;3;16;0;7;8;0;3;0;0;12;66;0;3;77;6;2;0;0;5;411;5;0;0;0;0;1;0;0;1;0;3;2;3;0;0;1;109;13
4;2016;14;0;0;8;2;3306107;1;2016m01;Valença;Janeiro;10;Interior;0;14;10;21;23;91;1;0;0;3;0;0;3;3;0;2;2;1;1;0;0;2;21;0;1;20;1;1;0;0;1;143;5;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;29;3
0;2016;3;0;0;0;0;3304508;1;2016m01;Rio das Flores;Janeiro;1;Interior;0;0;10;5;1;92;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;2;4;0;0;0;0;1;0;0;1;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10;2016;46;9;0;14;0;3306305;1;2016m01;Volta Redonda;Janeiro;12;Interior;0;23;28;70;41;93;5;0;0;33;5;0;3;17;3;38;20;1;5;0;0;18;66;0;5;109;3;4;0;0;5;667;5;1;0;0;3;9;0;0;0;0;23;20;5;0;0;14;187;41
0;2016;11;0;0;2;0;3304003;1;2016m01;Piraí;Janeiro;3;Interior;0;7;10;11;10;94;1;0;0;6;2;0;3;1;1;0;2;2;1;0;0;9;19;0;1;14;1;0;0;0;3;102;5;0;0;5;0;0;0;0;0;0;1;1;0;0;0;0;18;7
0;2016;5;0;0;5;2;3306206;1;2016m01;Vassouras;Janeiro;5;Interior;0;6;10;7;11;95;0;0;0;3;0;0;3;1;0;2;1;3;0;0;0;5;13;0;0;9;0;2;0;0;3;82;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;1
0;2016;6;0;0;7;0;9999999;1;2016m01;Miguel Pereira;Janeiro;6;Interior;0;3;10;32;8;96;1;1;0;5;2;1;3;2;2;2;1;0;1;0;0;8;29;0;1;19;0;3;0;0;4;164;5;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;26;2
0;2016;1;0;0;2;0;3302809;1;2016m01;Mendes;Janeiro;5;Interior;0;0;10;5;5;97;0;0;0;1;0;0;3;1;0;0;1;1;0;0;0;8;0;0;0;9;0;0;0;0;0;46;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
0;2016;1;0;0;0;0;3301801;1;2016m01;Engenheiro Paulo de Frontin;Janeiro;3;Interior;0;0;10;6;3;98;1;0;0;3;1;0;3;0;0;0;1;0;1;0;0;3;3;0;1;4;0;0;0;0;0;33;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
3;2016;13;0;0;2;1;3302254;1;2016m01;Itatiaia;Janeiro;34;Interior;0;6;37;23;40;99;1;1;0;2;1;1;3;2;0;0;2;0;1;0;0;1;8;0;1;18;1;1;0;0;0;124;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;9;23;2
2;2016;4;1;0;9;1;9999992;1;2016m01;Porto Real;Janeiro;3;Interior;0;3;37;10;7;100;0;0;0;6;0;0;3;0;0;1;0;0;0;0;0;3;19;0;0;22;1;0;0;0;0;101;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;24;2
0;2016;3;0;0;1;1;3303955;1;2016m01;Pinheiral;Janeiro;2;Interior;0;3;28;12;5;101;0;1;0;1;1;0;3;0;0;1;0;1;0;0;0;0;14;0;0;13;0;0;0;0;0;69;5;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;15;3
